,0,1,2,3,4,5,6,7,8,9,10
104,0.003957303594785855,0.007004996854440337,0.00985756806867255,0.012429114186403356,0.014432180445642984,0.015849200298872046,0.016886660567967393,0.017741446882596157,0.018595951411282452,0.019425241866183662,0.020185765003762013
106,0.007960562517138059,0.012926336508125802,0.016474362806636722,0.018863771626393966,0.023078987427563424,0.025828002273975303,0.02797577522927952,0.029663666938023137,0.03145352689293568,0.033134569302909256,0.03467668791220713
112,0.004044532159102721,0.007677276260836918,0.00939747777389377,0.01080217541652051,0.012239366877737856,0.013993257529851588,0.015522483504228912,0.01894454679233404,0.02007343457073274,0.021056175495481666,0.021462002042474504
115,0.0033535681743298573,0.006731251618441347,0.009746410445693354,0.013128827907786356,0.015475327482787016,0.017352256766023255,0.020292673364809555,0.022143900040654696,0.023587707906502664,0.02499165404729342,0.02590331428824799
121,0.00497136333135384,0.00860710112138885,0.01052231955836902,0.012322012381736358,0.014032830483700076,0.015775832472463724,0.017472208092239483,0.01919929795650943,0.02027426127717502,0.02148177345551261,0.02239258204452943
122,0.005442080256826576,0.009907219549238455,0.013983102023842231,0.016616085936342673,0.019257033206935725,0.02140296036591305,0.024937970660873554,0.02672815064356915,0.028298567858955237,0.02965136190064488,0.030995683224392834
125,0.01106702753835831,0.021762935090374413,0.0271157096378829,0.0303063407408648,0.03420632249468414,0.038377388672799495,0.04137689360262142,0.04338755012500195,0.04459443677113839,0.04725060488414912,0.04811032053720332
127,0.00641124690118855,0.011002212890780183,0.014001739760377885,0.01603316409573574,0.01867526175962253,0.021739917425440347,0.024220430861071285,0.026324950169708372,0.027958031826872398,0.029415776309256625,0.030655176312959886
128,0.005006749129312094,0.009305825046297178,0.012959591589185693,0.015619358493315194,0.018125950878683517,0.020529019718260377,0.025911758048505762,0.02940429985730597,0.031345135807774205,0.03273593945754638,0.03351194282979397
129,0.004557381915846648,0.007488605091294898,0.01005219842592131,0.012190075331854455,0.014338592706993558,0.01630211902973233,0.017922260404328427,0.019018824044873983,0.02011004096152491,0.020921003601797827,0.021428394145313168
130,0.004128151041531969,0.009274616246978451,0.013312861927773478,0.016209066285297058,0.01825926649081544,0.01984652177152857,0.021107497371602446,0.022124489711936923,0.022921271376391994,0.023606102162206932,0.02435580458917075
140,0.003450636237255278,0.006920419605941142,0.010628997383011818,0.013099607019975701,0.015382068884709277,0.01745552233772596,0.01917590348067355,0.022588484491954164,0.02473263387492186,0.026266740788791654,0.02715001800472905
142,0.004181609952356169,0.007495669176927233,0.01022307218747931,0.012603600292339201,0.014633687415632757,0.01689095241882055,0.01905342875396765,0.024312222912247883,0.02648986126461006,0.027119238124981515,0.027675124094912906
