,opto_stim,wheel_velocity,nose,paw_l,paw_r,tongue_end_l,tongue_end_r,motion_energy_body,motion_energy_left,motion_energy_right,pupil_diameter,score,acronym
99,0.003853444599889566,0.012226296719970664,0.015283120714115861,0.017597658422842444,0.020674023199901748,0.023115277238931697,0.02434386237957964,0.024619944728429766,0.0246199447284281,0.024619944728430876,0.02461994472842799,0.02461994472842799,ORBm5
100,0.00662549292201664,0.01599550431729868,0.02230463397733773,0.0274200460299856,0.030959262391915487,0.0336179486949969,0.03465001067216211,0.03472736106716945,0.034727361067168006,0.034727361067168006,0.034727361067168894,0.034727361067168894,ORBm5
103,0.015004295283973623,0.03349327181490336,0.03714526334801249,0.039123376776663776,0.03963800198305434,0.039996494167181984,0.040080778472744494,0.040153342904109324,0.04015334290410055,0.04015334290410855,0.04015334290410488,0.04015334290410488,ORBm5
105,0.016645740928441954,0.027081063066973554,0.03335408607402879,0.038898355032427556,0.04351120300691058,0.04610453682914162,0.04758855101735748,0.04806843270487615,0.048068432704877484,0.048068432704878705,0.048068432704880704,0.048068432704880704,ORBm5
107,0.01105758481481467,0.013777385468209835,0.016365347328053614,0.017954470801910816,0.018136952309022125,0.018198465331117908,0.018256043339906713,0.018262676579195447,0.018262676579194448,0.018262676579197112,0.018262676579192894,0.018262676579192894,ORBm5
109,0.005278161335621645,0.00853967364308128,0.012772452246573862,0.0166734096169584,0.018928472625790782,0.020768229919683523,0.021701525381221165,0.022149882874700322,0.02214988287469699,0.022149882874698656,0.022149882874699656,0.022149882874699656,ORBm5
110,0.0037489126475855894,0.006304064910935048,0.008305892158760209,0.010192865775428328,0.01056558701810617,0.010771423893440102,0.010852576671117276,0.010899457086445241,0.010899457086444242,0.010899457086451125,0.010899457086455122,0.010899457086455122,ORBm5
112,0.016325335211192837,0.023391241667588214,0.027444730540951645,0.030722552714214646,0.03320308950952566,0.034994527363124805,0.0361306975618243,0.036191114388860135,0.03619111438885536,0.03619111438885736,0.03619111438886724,0.03619111438886724,ORBm5
114,0.013580609035799385,0.018465499249077588,0.023599584911179194,0.029590980114853616,0.032548971667292426,0.03404331481934331,0.03515294721592832,0.03540704497835456,0.03540704497835545,0.03540704497835567,0.03540704497835934,0.03540704497835934,ORBm5
115,0.006740539110421273,0.011119443487565106,0.015298535318535644,0.019055979828697556,0.021201033730416596,0.023134527673825844,0.024937834734713782,0.026735567758548018,0.02673556775854613,0.02673556775854813,0.02673556775854613,0.02673556775854613,ORBm5
116,0.004681934602570936,0.009162132168417658,0.011035845860663862,0.012623795442425312,0.013136661377115444,0.013342653689066397,0.013418007642267415,0.01346619280883632,0.013466192808835764,0.01346619280883743,0.013466192808839095,0.013466192808839095,ORBm5
