,Unnamed: 0,subject,date,eid,sert-cre,change_rate,time
137,1.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,3.066666666666667,-0.825
138,2.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,2.5333333333333337,-0.675
139,3.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,5.866666666666666,-0.5249999999999999
140,4.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,5.6,-0.375
141,5.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,6.0,-0.2249999999999999
142,6.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,4.533333333333333,-0.075
143,7.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,6.400000000000001,0.075
144,8.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,6.933333333333333,0.2249999999999999
145,9.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,7.066666666666666,0.375
146,10.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,5.733333333333332,0.5249999999999999
147,11.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,6.666666666666666,0.675
148,12.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,6.533333333333335,0.825
149,13.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,7.333333333333331,0.975
150,14.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,6.000000000000001,1.125
151,15.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,7.066666666666667,1.275
152,16.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,6.800000000000001,1.4249999999999998
153,17.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,6.133333333333334,1.575
154,18.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,6.533333333333335,1.725
155,19.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,5.466666666666668,1.875
156,20.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,4.400000000000001,2.025
157,21.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,2.933333333333333,2.175
158,22.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,5.466666666666666,2.325
159,23.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,4.533333333333334,2.475
160,24.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,4.4,2.625
161,25.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,4.4,2.775
162,26.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,4.800000000000001,2.925
163,27.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,5.066666666666667,3.075
164,28.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,6.266666666666667,3.225
165,29.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,5.866666666666666,3.375
166,30.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,5.066666666666666,3.5249999999999995
167,31.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,6.266666666666667,3.675
168,32.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,6.133333333333335,3.825
169,33.0,ZFM-03321,2022-03-22,aff57b75-b439-4537-be22-743acedc8e5d,1,7.066666666666666,3.975
170,0.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,7.333333333333334,-0.975
171,1.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.533333333333334,-0.825
172,2.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.933333333333335,-0.675
173,3.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.0,-0.5249999999999999
174,4.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,5.866666666666666,-0.375
175,5.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.533333333333332,-0.2249999999999999
176,6.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,5.2,-0.075
177,7.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.666666666666668,0.075
178,8.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,4.933333333333334,0.2249999999999999
179,9.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,5.866666666666666,0.375
180,10.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.933333333333335,0.5249999999999999
181,11.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.0,0.675
182,12.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,7.066666666666666,0.825
183,13.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,4.8,0.975
184,14.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,7.066666666666666,1.125
185,15.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.266666666666665,1.275
186,16.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.533333333333334,1.4249999999999998
187,17.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.666666666666668,1.575
188,18.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,8.26666666666667,1.725
189,19.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.000000000000001,1.875
190,20.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.666666666666665,2.025
191,21.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,7.066666666666667,2.175
192,22.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.0,2.325
193,23.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.266666666666667,2.475
194,24.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,5.999999999999999,2.625
195,25.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,5.2,2.775
196,26.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.666666666666666,2.925
197,27.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,7.466666666666666,3.075
198,28.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,5.6,3.225
199,29.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.4,3.375
200,30.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,5.733333333333333,3.5249999999999995
201,31.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.266666666666667,3.675
202,32.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,6.000000000000001,3.825
203,33.0,ZFM-03332,2022-02-17,91987e95-33ef-4af8-a2a9-377d26a97a52,0,5.866666666666667,3.975
204,0.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,7.2,-0.975
205,1.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,4.133333333333334,-0.825
206,2.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,5.733333333333333,-0.675
207,3.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,6.8000000000000025,-0.5249999999999999
208,4.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,7.2,-0.375
209,5.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,9.333333333333332,-0.2249999999999999
210,6.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,6.933333333333334,-0.075
211,7.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,7.6,0.075
212,8.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,4.533333333333332,0.2249999999999999
213,9.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,2.666666666666667,0.375
214,10.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,4.133333333333333,0.5249999999999999
215,11.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,4.933333333333334,0.675
216,12.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,4.533333333333333,0.825
217,13.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,4.666666666666667,0.975
218,14.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,6.0,1.125
219,15.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,6.933333333333334,1.275
220,16.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,5.733333333333333,1.4249999999999998
221,17.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,5.333333333333332,1.575
222,18.0,ZFM-03329,2022-03-01,87287aa4-727e-48c0-8b7d-92c9f35cc257,1,5.066666666666667,1.725
