,p_down,time,subject,pid,region
20,0.38,3.1,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
21,0.45999999999999996,3.3000000000000003,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
22,0.43999999999999995,3.5,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
23,0.56,3.7,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
24,0.62,3.9000000000000004,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Frontal
0,0.28,-0.9,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
1,0.26,-0.7000000000000001,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
2,0.33999999999999997,-0.5,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
3,0.31999999999999995,-0.30000000000000004,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
4,0.33999999999999997,-0.1,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
5,0.48,0.1,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
6,0.7,0.30000000000000004,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
7,0.88,0.5,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
8,0.94,0.7000000000000001,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
9,0.94,0.9,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
10,0.96,1.1,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
11,0.98,1.3000000000000003,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
12,1.0,1.5,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
13,1.0,1.7000000000000002,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
14,0.96,1.9,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
15,0.94,2.1,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
16,0.76,2.3000000000000003,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
17,0.62,2.5,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
18,0.45999999999999996,2.7,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
19,0.36,2.9000000000000004,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
20,0.38,3.1,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
21,0.30000000000000004,3.3000000000000003,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
22,0.30000000000000004,3.5,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
23,0.24,3.7,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
24,0.26,3.9000000000000004,ZFM-04820,04954136-75a8-4a20-9054-37b0bffd3b8b,Striatum
0,0.56,-0.9,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
1,0.62,-0.7000000000000001,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
2,0.56,-0.5,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
3,0.5,-0.30000000000000004,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
4,0.6599999999999999,-0.1,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
5,0.64,0.1,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
6,0.76,0.30000000000000004,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
7,0.76,0.5,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
8,0.72,0.7000000000000001,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
9,0.8200000000000001,0.9,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
10,0.84,1.1,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
11,0.8,1.3000000000000003,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
12,0.78,1.5,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
13,0.74,1.7000000000000002,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
14,0.72,1.9,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
15,0.72,2.1,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
16,0.7,2.3000000000000003,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
17,0.6599999999999999,2.5,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
18,0.6,2.7,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
19,0.5,2.9000000000000004,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
20,0.48,3.1,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
21,0.45999999999999996,3.3000000000000003,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
22,0.4,3.5,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
23,0.54,3.7,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
24,0.54,3.9000000000000004,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Sensory
0,0.28,-0.9,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
1,0.42000000000000004,-0.7000000000000001,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
2,0.43999999999999995,-0.5,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
3,0.4,-0.30000000000000004,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
4,0.43999999999999995,-0.1,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
5,0.5800000000000001,0.1,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
6,0.8,0.30000000000000004,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
7,0.92,0.5,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
8,0.94,0.7000000000000001,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
9,0.98,0.9,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
10,0.98,1.1,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
11,0.98,1.3000000000000003,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
12,1.0,1.5,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
13,0.98,1.7000000000000002,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
14,0.96,1.9,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
15,0.92,2.1,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
16,0.78,2.3000000000000003,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
17,0.5800000000000001,2.5,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
18,0.45999999999999996,2.7,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
19,0.33999999999999997,2.9000000000000004,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
20,0.38,3.1,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
21,0.33999999999999997,3.3000000000000003,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
22,0.28,3.5,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
23,0.31999999999999995,3.7,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
24,0.36,3.9000000000000004,ZFM-04820,181aeeb1-9858-4562-9d7c-1ce21959cd80,Striatum
0,0.56,-0.9,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
1,0.6,-0.7000000000000001,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
2,0.7,-0.5,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
3,0.62,-0.30000000000000004,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
4,0.6599999999999999,-0.1,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
5,0.6599999999999999,0.1,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
6,0.7,0.30000000000000004,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
7,0.74,0.5,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
8,0.74,0.7000000000000001,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
9,0.74,0.9,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
10,0.6799999999999999,1.1,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
11,0.6599999999999999,1.3000000000000003,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
12,0.5800000000000001,1.5,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
13,0.52,1.7000000000000002,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
14,0.42000000000000004,1.9,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
15,0.45999999999999996,2.1,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
16,0.45999999999999996,2.3000000000000003,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
17,0.45999999999999996,2.5,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
18,0.52,2.7,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
19,0.56,2.9000000000000004,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
20,0.6,3.1,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
21,0.6,3.3000000000000003,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
22,0.6599999999999999,3.5,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
23,0.62,3.7,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
24,0.56,3.9000000000000004,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Hippocampus
0,0.7,-0.9,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Thalamus
1,0.74,-0.7000000000000001,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Thalamus
2,0.6799999999999999,-0.5,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Thalamus
3,0.6799999999999999,-0.30000000000000004,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Thalamus
4,0.6799999999999999,-0.1,ZFM-04820,366c7c11-5509-443f-b07b-dabc9dcfd53e,Thalamus
