Hz,region,baseline,stim,ratio,subject,date,probe
100.09765625,Pir,-255.17236,-255.93521,1.0045074,ZFM-03330,2022-02-18,probe00
100.09765625,Str,-258.22943,-257.73114,1.0069867,ZFM-03330,2022-02-18,probe00
102.5390625,BC,-266.86133,-267.15448,0.9987223,ZFM-03330,2022-02-18,probe00
102.5390625,Pir,-263.5957,-264.3792,0.9889507,ZFM-03330,2022-02-18,probe00
102.5390625,Str,-267.93134,-267.56403,0.9953432,ZFM-03330,2022-02-18,probe00
104.98046875,BC,-271.61148,-271.4245,0.99084926,ZFM-03330,2022-02-18,probe00
104.98046875,Pir,-266.09827,-264.79315,0.9994249,ZFM-03330,2022-02-18,probe00
104.98046875,Str,-272.6592,-271.53387,0.9953084,ZFM-03330,2022-02-18,probe00
107.421875,BC,-272.26398,-272.16663,1.0073459,ZFM-03330,2022-02-18,probe00
107.421875,Pir,-267.03503,-270.46103,0.9803658,ZFM-03330,2022-02-18,probe00
107.421875,Str,-272.53934,-272.2359,1.0002172,ZFM-03330,2022-02-18,probe00
109.86328125,BC,-272.39355,-269.8037,1.0093086,ZFM-03330,2022-02-18,probe00
109.86328125,Pir,-267.8838,-262.65125,1.0081022,ZFM-03330,2022-02-18,probe00
109.86328125,Str,-273.31854,-273.1595,1.0005016,ZFM-03330,2022-02-18,probe00
112.3046875,BC,-271.52765,-271.6314,0.9932091,ZFM-03330,2022-02-18,probe00
112.3046875,Pir,-265.31012,-263.54413,0.99512637,ZFM-03330,2022-02-18,probe00
112.3046875,Str,-273.12543,-275.41718,0.99961025,ZFM-03330,2022-02-18,probe00
114.74609375,BC,-273.9316,-273.4594,1.0014993,ZFM-03330,2022-02-18,probe00
114.74609375,Pir,-264.63538,-266.8025,0.9997963,ZFM-03330,2022-02-18,probe00
114.74609375,Str,-271.86145,-273.66562,0.99720883,ZFM-03330,2022-02-18,probe00
117.1875,BC,-276.01392,-273.04907,1.0071933,ZFM-03330,2022-02-18,probe00
117.1875,Pir,-260.75388,-261.925,0.99925256,ZFM-03330,2022-02-18,probe00
117.1875,Str,-271.92334,-271.31247,1.001373,ZFM-03330,2022-02-18,probe00
119.62890625,BC,-273.00732,-274.70624,1.0004848,ZFM-03330,2022-02-18,probe00
119.62890625,Pir,-261.95084,-259.69363,1.0068295,ZFM-03330,2022-02-18,probe00
119.62890625,Str,-271.69653,-273.6482,1.0024263,ZFM-03330,2022-02-18,probe00
122.0703125,BC,-275.89755,-274.9079,1.0049238,ZFM-03330,2022-02-18,probe00
122.0703125,Pir,-262.95483,-262.2702,1.0008572,ZFM-03330,2022-02-18,probe00
122.0703125,Str,-275.193,-271.9519,1.0048256,ZFM-03330,2022-02-18,probe00
124.51171875,BC,-276.80896,-276.75934,1.0006847,ZFM-03330,2022-02-18,probe00
124.51171875,Pir,-264.28693,-260.752,1.0044763,ZFM-03330,2022-02-18,probe00
124.51171875,Str,-276.89148,-274.47137,1.01124,ZFM-03330,2022-02-18,probe00
126.953125,BC,-275.35156,-278.08112,0.9932119,ZFM-03330,2022-02-18,probe00
126.953125,Pir,-264.44128,-265.50458,1.0040644,ZFM-03330,2022-02-18,probe00
126.953125,Str,-274.38272,-274.7312,1.0004971,ZFM-03330,2022-02-18,probe00
129.39453125,BC,-274.9081,-274.43137,0.9964751,ZFM-03330,2022-02-18,probe00
129.39453125,Pir,-260.54865,-265.69287,0.98046064,ZFM-03330,2022-02-18,probe00
129.39453125,Str,-275.7016,-273.6361,0.9994931,ZFM-03330,2022-02-18,probe00
131.8359375,BC,-277.05588,-275.66373,1.007159,ZFM-03330,2022-02-18,probe00
131.8359375,Pir,-261.67688,-263.6784,0.98668057,ZFM-03330,2022-02-18,probe00
131.8359375,Str,-276.2397,-273.9272,1.0090706,ZFM-03330,2022-02-18,probe00
134.27734375,BC,-276.64233,-276.30566,0.9927244,ZFM-03330,2022-02-18,probe00
134.27734375,Pir,-261.93512,-265.09314,0.9806191,ZFM-03330,2022-02-18,probe00
134.27734375,Str,-276.85706,-275.97107,1.0086654,ZFM-03330,2022-02-18,probe00
136.71875,BC,-276.84546,-276.71478,1.0128803,ZFM-03330,2022-02-18,probe00
136.71875,Pir,-264.31342,-265.4068,1.0008675,ZFM-03330,2022-02-18,probe00
136.71875,Str,-277.76385,-277.80005,1.001617,ZFM-03330,2022-02-18,probe00
139.16015625,BC,-275.27725,-276.46188,0.9928211,ZFM-03330,2022-02-18,probe00
139.16015625,Pir,-263.9775,-265.85815,0.99459875,ZFM-03330,2022-02-18,probe00
139.16015625,Str,-277.2909,-274.72083,1.0046668,ZFM-03330,2022-02-18,probe00
141.6015625,BC,-277.33234,-277.2664,0.998508,ZFM-03330,2022-02-18,probe00
141.6015625,Pir,-265.88098,-267.74423,0.99083406,ZFM-03330,2022-02-18,probe00
141.6015625,Str,-275.1935,-274.85873,0.99972296,ZFM-03330,2022-02-18,probe00
144.04296875,BC,-281.2683,-277.37677,1.0180132,ZFM-03330,2022-02-18,probe00
144.04296875,Pir,-272.3792,-268.58096,1.0064108,ZFM-03330,2022-02-18,probe00
144.04296875,Str,-278.0697,-275.53607,1.0034363,ZFM-03330,2022-02-18,probe00
146.484375,BC,-278.24188,-276.15936,1.00368,ZFM-03330,2022-02-18,probe00
146.484375,Pir,-270.10638,-272.14978,1.0047154,ZFM-03330,2022-02-18,probe00
146.484375,Str,-278.55347,-277.15384,1.0031264,ZFM-03330,2022-02-18,probe00
148.92578125,BC,-264.53003,-265.36688,0.9985311,ZFM-03330,2022-02-18,probe00
148.92578125,Pir,-265.7454,-263.12384,1.0046778,ZFM-03330,2022-02-18,probe00
148.92578125,Str,-266.83218,-268.05347,1.0011652,ZFM-03330,2022-02-18,probe00
151.3671875,BC,-265.90588,-268.88898,0.9960676,ZFM-03330,2022-02-18,probe00
151.3671875,Pir,-263.0964,-268.00806,0.98041034,ZFM-03330,2022-02-18,probe00
151.3671875,Str,-268.10464,-269.2011,0.99666035,ZFM-03330,2022-02-18,probe00
153.80859375,BC,-276.81158,-277.87555,0.99444574,ZFM-03330,2022-02-18,probe00
153.80859375,Pir,-273.1928,-276.86127,0.9931171,ZFM-03330,2022-02-18,probe00
153.80859375,Str,-277.08063,-278.7444,0.9929178,ZFM-03330,2022-02-18,probe00
156.25,BC,-280.21204,-276.73737,1.001817,ZFM-03330,2022-02-18,probe00
156.25,Pir,-277.5346,-274.97668,1.0116616,ZFM-03330,2022-02-18,probe00
156.25,Str,-278.379,-277.73532,1.0069898,ZFM-03330,2022-02-18,probe00
158.69140625,BC,-282.02014,-279.28345,1.0105405,ZFM-03330,2022-02-18,probe00
158.69140625,Pir,-276.31348,-274.40277,1.0037599,ZFM-03330,2022-02-18,probe00
158.69140625,Str,-280.23523,-280.09674,1.0046967,ZFM-03330,2022-02-18,probe00
161.1328125,BC,-281.08597,-279.9931,1.0012131,ZFM-03330,2022-02-18,probe00
161.1328125,Pir,-279.85092,-275.16565,1.0126822,ZFM-03330,2022-02-18,probe00
161.1328125,Str,-283.03693,-281.16583,1.0084562,ZFM-03330,2022-02-18,probe00
163.57421875,BC,-281.73486,-279.70715,1.0028108,ZFM-03330,2022-02-18,probe00
163.57421875,Pir,-279.1362,-277.22418,1.0110488,ZFM-03330,2022-02-18,probe00
163.57421875,Str,-282.53522,-282.2775,1.0067453,ZFM-03330,2022-02-18,probe00
166.015625,BC,-282.1267,-281.3706,0.9989176,ZFM-03330,2022-02-18,probe00
166.015625,Pir,-277.68622,-276.44833,1.0001165,ZFM-03330,2022-02-18,probe00
166.015625,Str,-281.26898,-280.77032,0.99346304,ZFM-03330,2022-02-18,probe00
168.45703125,BC,-281.1787,-282.13904,0.99246347,ZFM-03330,2022-02-18,probe00
168.45703125,Pir,-276.83536,-278.24655,0.99374425,ZFM-03330,2022-02-18,probe00
168.45703125,Str,-280.41638,-281.22153,1.0005652,ZFM-03330,2022-02-18,probe00
170.8984375,BC,-281.98285,-282.8393,0.9958015,ZFM-03330,2022-02-18,probe00
170.8984375,Pir,-277.59488,-279.27008,0.9921082,ZFM-03330,2022-02-18,probe00
170.8984375,Str,-282.83655,-281.70782,1.0018408,ZFM-03330,2022-02-18,probe00
173.33984375,BC,-283.46878,-283.6946,1.0011854,ZFM-03330,2022-02-18,probe00
173.33984375,Pir,-277.25833,-276.49374,0.9970824,ZFM-03330,2022-02-18,probe00
173.33984375,Str,-284.93512,-280.97827,1.0110669,ZFM-03330,2022-02-18,probe00
175.78125,BC,-284.38022,-284.51788,1.0053085,ZFM-03330,2022-02-18,probe00
175.78125,Pir,-280.84723,-280.53735,0.9989008,ZFM-03330,2022-02-18,probe00
175.78125,Str,-284.2941,-282.5994,1.0037199,ZFM-03330,2022-02-18,probe00
178.22265625,BC,-282.15317,-283.68567,0.99093765,ZFM-03330,2022-02-18,probe00
178.22265625,Pir,-282.25485,-276.6036,1.0156723,ZFM-03330,2022-02-18,probe00
178.22265625,Str,-283.06958,-283.32794,0.998363,ZFM-03330,2022-02-18,probe00
180.6640625,BC,-283.54617,-283.48077,0.9958539,ZFM-03330,2022-02-18,probe00
180.6640625,Pir,-279.9879,-279.74414,1.0080242,ZFM-03330,2022-02-18,probe00
180.6640625,Str,-281.75684,-281.95435,1.0018412,ZFM-03330,2022-02-18,probe00
183.10546875,BC,-284.0357,-284.20706,1.002171,ZFM-03330,2022-02-18,probe00
183.10546875,Pir,-280.5754,-281.13947,1.006938,ZFM-03330,2022-02-18,probe00
183.10546875,Str,-283.21863,-282.3059,1.002644,ZFM-03330,2022-02-18,probe00
185.546875,BC,-284.1106,-285.98956,0.9983716,ZFM-03330,2022-02-18,probe00
185.546875,Pir,-280.20905,-284.24127,0.9922948,ZFM-03330,2022-02-18,probe00
185.546875,Str,-285.57556,-286.39166,0.99461126,ZFM-03330,2022-02-18,probe00
187.98828125,BC,-286.54535,-284.72308,1.0058956,ZFM-03330,2022-02-18,probe00
187.98828125,Pir,-281.53217,-283.02518,0.9989033,ZFM-03330,2022-02-18,probe00
187.98828125,Str,-286.2916,-285.47552,1.0004047,ZFM-03330,2022-02-18,probe00
190.4296875,BC,-284.97296,-282.84857,1.0108275,ZFM-03330,2022-02-18,probe00
190.4296875,Pir,-282.7558,-282.16693,1.0025047,ZFM-03330,2022-02-18,probe00
190.4296875,Str,-286.3476,-285.29935,0.9976274,ZFM-03330,2022-02-18,probe00
192.87109375,BC,-286.22504,-282.22638,1.0182762,ZFM-03330,2022-02-18,probe00
192.87109375,Pir,-279.88928,-277.8307,1.0032843,ZFM-03330,2022-02-18,probe00
