subject,date,eid,probe,pid,region,neuron_id,mod_index_early,mod_index_late,modulated,p_value,latency_peak,latency_peak_onset,anesthesia
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs,1467,-0.2255999999999999,-0.3583999999999998,True,3.679282513102677e-07,0.2248253857592317,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs,1471,-0.2532,-0.3400000000000001,True,4.157095551904355e-06,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs,1472,-0.1456,-0.2456,True,2.8174335231501146e-07,0.3253309100464321,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs,1479,-0.1179999999999998,-0.1791999999999999,True,0.0019671970688356,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs,1484,-0.1955999999999998,-0.3519999999999998,True,1.710417828926225e-06,0.4893975409440827,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs,1487,-0.0564,-0.2612000000000001,True,5.857521178720404e-05,0.0656798567238183,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs,1495,-0.0207999999999999,-0.06,False,0.0738846773494233,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,root,1504,-0.0223999999999999,-0.1724000000000001,True,1.4763965347164287e-05,0.1561828755829992,0.1275762520726857,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,ACB,1506,0.0896000000000001,0.2387999999999999,True,0.0105144473228712,0.3855241035944345,0.1941284970398555,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,1507,-0.278,-0.4908,True,1.7875413967916032e-06,0.0844498291330637,0.0426699592067052,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,1509,-0.0624000000000001,-0.24,True,8.753105800840544e-05,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,1527,0.0,0.0,False,0.0741449656938093,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,1534,-0.04,-0.0191999999999999,True,0.0054688273187668,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,CP,1536,-0.0195999999999999,-0.0604,True,0.0291706717681733,0.4336638097292962,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,root,1539,-0.2104,-0.36,True,5.594476200732057e-05,0.0844010473870184,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,root,1543,-0.1415999999999999,-0.3271999999999999,True,0.0005262849854921,0.0461559238183326,0.0135595640203973,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,root,1550,-0.0387999999999999,-0.0999999999999999,True,0.0021954097413388,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,root,1560,-0.146,-0.3104,True,5.60547736261352e-06,0.8091623066311513,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs,1579,0.0,0.0,True,0.0323405360747164,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs,1584,0.0,0.0,False,0.3464980562003884,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs,1587,-0.0799999999999999,-0.0607999999999999,True,0.0359510357425987,,,both
ZFM-04820,2022-09-16,a5f5eacc-3344-4f24-a41a-a6018c1eabf1,probe00,04954136-75a8-4a20-9054-37b0bffd3b8b,MOs,1595,-0.2576,-0.272,True,7.068085529293722e-05,0.8670187072621047,,both
