,subject,date,eid,region_1,region_2,region_pair,r_opto,r_spont_05,r_spont_95,time
259,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,GP,Amyg-GP,-0.08540792784695228,-0.3640630978152305,0.47342654794553496,-0.1
260,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,GP,Amyg-GP,0.019036977352039613,-0.3121044713666378,0.43073048105971745,0.1
261,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,GP,Amyg-GP,0.33666559818313785,-0.3380810918496654,0.44273469659997794,0.30000000000000004
262,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,GP,Amyg-GP,0.004364485637647783,-0.36180114950079634,0.41139518679504333,0.5
263,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,GP,Amyg-GP,-0.2584822456145745,-0.3720640687961368,0.4771628631486287,0.7000000000000001
264,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,GP,Amyg-GP,0.3677585444677115,-0.3303960762435866,0.4914174204067275,0.9
265,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,GP,Amyg-GP,0.18122344080417382,-0.35570986071102684,0.47758675964740677,1.1
266,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,GP,Amyg-GP,-0.03820903213754442,-0.3806856646969818,0.3823034703090638,1.3000000000000003
267,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,GP,Amyg-GP,-0.21251706921422348,-0.34409539590444094,0.455458898598281,1.5
268,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,GP,Amyg-GP,-0.4170042817486232,-0.3526532522266506,0.4179121547910378,1.7000000000000002
269,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,GP,Amyg-GP,-0.2877396621173986,-0.3931692771397432,0.396946712435814,1.9
270,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,Thal,Amyg-Thal,0.45109121582869305,-0.38372897639450093,0.612199129330833,-0.9
271,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,Thal,Amyg-Thal,0.3463855024403526,-0.4302308941109027,0.5742293559981462,-0.7000000000000001
272,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,Thal,Amyg-Thal,0.5207140664574744,-0.39226110053320995,0.5896513925310946,-0.5
273,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,Thal,Amyg-Thal,0.4879435780215303,-0.4163400446518398,0.6525847831054977,-0.30000000000000004
274,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,Thal,Amyg-Thal,0.4107881331985638,-0.39870313275093433,0.5870023429777466,-0.1
275,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,Thal,Amyg-Thal,0.7939246671388431,-0.44454343714474936,0.593046188743293,0.1
276,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,Thal,Amyg-Thal,0.08996222349283606,-0.41216706028710043,0.6357835213603743,0.30000000000000004
277,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,Thal,Amyg-Thal,0.0045305743204151205,-0.4165281855675083,0.6082709717522641,0.5
278,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,Thal,Amyg-Thal,-0.024838956201195146,-0.4432780045959051,0.5699058294524324,0.7000000000000001
279,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,Thal,Amyg-Thal,-0.28068277617567183,-0.3879624758984013,0.6273737267404176,0.9
280,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,Thal,Amyg-Thal,-0.255343995145683,-0.436275476996464,0.5760743146532429,1.1
281,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,Thal,Amyg-Thal,0.5043797435651167,-0.4528722175894262,0.5763025899292725,1.3000000000000003
282,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,Thal,Amyg-Thal,-0.15844085977764993,-0.39679119010487757,0.5796893778782127,1.5
283,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,Thal,Amyg-Thal,-0.5565740886663129,-0.4438611123142529,0.5957780622627177,1.7000000000000002
284,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,Amyg,Thal,Amyg-Thal,0.08971502324876673,-0.405409917354769,0.5897058349353532,1.9
285,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,GP,Thal,GP-Thal,-0.12332145803328068,-0.3515185849396961,0.42488565574197723,-0.9
286,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,GP,Thal,GP-Thal,0.21679171371681408,-0.32755192737578315,0.43504929433312606,-0.7000000000000001
287,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,GP,Thal,GP-Thal,-0.27003371394907977,-0.33493915503446164,0.38833503953426723,-0.5
288,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,GP,Thal,GP-Thal,0.3383952871334199,-0.35547315028331067,0.43917384451906544,-0.30000000000000004
289,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,GP,Thal,GP-Thal,0.343534937787186,-0.2988490342330243,0.4368139933527961,-0.1
290,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,GP,Thal,GP-Thal,-0.015803779530411646,-0.3422093834657931,0.399381109600251,0.1
291,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,GP,Thal,GP-Thal,-0.15693902262876336,-0.3089841286082284,0.4238192145566031,0.30000000000000004
292,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,GP,Thal,GP-Thal,0.35703409317553847,-0.3683302895920583,0.42382853760167416,0.5
293,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,GP,Thal,GP-Thal,0.4166786202400513,-0.31913252528252417,0.4298388646309903,0.7000000000000001
294,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,GP,Thal,GP-Thal,0.4576179909481745,-0.40151111499257,0.44285064515806466,0.9
295,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,GP,Thal,GP-Thal,0.1783544946941574,-0.31671565180547456,0.4438421587765386,1.1
296,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,GP,Thal,GP-Thal,0.011831158421378099,-0.35151100403330277,0.44104851222590563,1.3000000000000003
297,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,GP,Thal,GP-Thal,-0.07757193224677825,-0.3454477341220654,0.4393066995346354,1.5
298,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,GP,Thal,GP-Thal,0.12374955191389896,-0.34359894117351375,0.37442805350338554,1.7000000000000002
299,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,GP,Thal,GP-Thal,-0.09490299771250103,-0.3576886641779085,0.39371720463507015,1.9
300,ZFM-01802,2021-03-11,2cefe445-36a8-4d6a-95b0-1adb59b9edd4,Amyg,Pir,Amyg-Pir,-0.057235742572231255,-0.41346573962649297,0.5593923279761741,-0.9
