,subject,date,eid,region_1,region_2,region_pair,r_opto,r_baseline,time
57,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,Pir,M2-Pir,0.5191333519281482,0.031337963473915875,2.5
58,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,Pir,M2-Pir,0.5236104285151112,0.03581504006087882,2.7
59,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,Pir,M2-Pir,0.36542971798731044,-0.12236567046692193,2.9000000000000004
60,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.26648603913691005,0.04445666626673794,-0.9
61,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.26439388654951196,0.042364513679339855,-0.7000000000000001
62,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.2338348706083021,0.01180549773813,-0.5
63,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.24226497228190866,0.020235599411736555,-0.30000000000000004
64,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.10316709577422756,-0.11886227709594455,-0.1
65,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.18956662542784616,-0.03246274744232594,0.1
66,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.1323623572725556,-0.0896670155976165,0.30000000000000004
67,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.2749525150189427,0.052923142148770586,0.5
68,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.20767093565988198,-0.01435843721029012,0.7000000000000001
69,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.11613276472331452,-0.10589660814685758,0.9
70,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.16411963407693786,-0.057909738793234244,1.1
71,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,Pir,ORB-Pir,0.34643813860256933,0.12440876573239723,1.3000000000000003
