,Unnamed: 0,r,r_baseline,time,region_1,region_2,region_pair,subject,eid,date,sert-cre
4122,,-0.014648600601660013,-0.013508905140621294,-0.75,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4123,,0.009952436094767316,0.011092131555806035,-0.6500000000000001,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4124,,0.00027358690181390294,0.0014132823628526224,-0.55,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4125,,-0.03691101075482596,-0.03577131529378724,-0.45,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4126,,-0.017548850597212715,-0.016409155136173994,-0.35000000000000003,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4127,,0.014846257729804512,0.01598595319084323,-0.25,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4128,,0.0007352778468175333,0.0018749733078562527,-0.15000000000000002,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4129,,0.032882473429979,0.034022168891017716,-0.05,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4130,,-0.002804826556907714,-0.0016651310958689944,0.05,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4131,,-0.02556214275167053,-0.02442244729063181,0.15000000000000002,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4132,,0.015605557232343437,0.016745252693382156,0.25,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4133,,0.022190761516195815,0.023330456977234536,0.35000000000000003,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4134,,-0.003920732796542334,-0.002781037335503615,0.45,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4135,,-0.01769243114068914,-0.016552735679650418,0.55,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4136,,-0.027594479405090334,-0.026454783944051614,0.6500000000000001,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4137,,-0.013267385522890666,-0.012127690061851947,0.75,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4138,,-0.005697419657162637,-0.004557724196123918,0.8500000000000001,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4139,,0.00968388497434669,0.01082358043538541,0.95,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4140,,-0.01813503238258159,-0.01699533692154287,1.05,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4141,,0.0022076395430138253,0.0033473350040525447,1.1500000000000001,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4142,,-0.011315583215053672,-0.010175887754014953,1.25,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4143,,-0.009119259302200405,-0.007979563841161686,1.35,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4144,,-0.029803804478485407,-0.028664109017446687,1.4500000000000002,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4145,,-0.04997616795288086,-0.04883647249184214,1.55,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4146,,-0.03187961118711593,-0.03073991572607721,1.6500000000000001,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4147,,-0.01736501139782858,-0.016225315936789858,1.75,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4148,,0.007065620211647543,0.008205315672686262,1.85,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4149,,0.007423125058879784,0.008562820519918503,1.9500000000000002,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4150,,-0.002546542649349143,-0.0014068471883104238,2.05,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4151,,-0.008043899143390505,-0.006904203682351786,2.1500000000000004,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4152,,-0.013752504020166523,-0.012612808559127804,2.25,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4153,,0.008956880612373087,0.010096576073411806,2.3500000000000005,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4154,,-0.018460249895291773,-0.017320554434253052,2.45,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4155,,-0.010014621760608678,-0.008874926299569959,2.55,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4156,,-0.016021069248287008,-0.014881373787248289,2.6500000000000004,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4157,,0.0024980928382462952,0.0036377882992850146,2.75,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4158,,0.008420287529018472,0.00955998299005719,2.8500000000000005,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4159,,0.0016686562620217297,0.002808351723060449,2.95,Hippocampus,Sensory,Hippocampus-Sensory,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
4160,,0.0073550012735839766,0.0014205738128263805,-0.95,Hippocampus,Striatum,Hippocampus-Striatum,ZFM-03324,c5f0df31-60ca-42da-900d-7881fbc40c23,2022-04-12,0
