subject,date,pid,time,n_neurons,pca_dist
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.64,134,0.4078399982381488
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.66,134,0.5094592251852408
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.68,134,0.7098735099966353
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.7,134,0.383781575053886
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.72,134,1.7112172775608834
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.74,134,1.7354969946863823
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.76,134,0.9532614166582863
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.78,134,0.6594230313663105
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.8,134,1.2719619560069595
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.8200000000000001,134,0.7384451667269085
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.8400000000000001,134,1.3897368615155847
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.86,134,0.7215781827466563
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.88,134,0.244196211671053
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.9,134,0.5936991307857242
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.92,134,0.4786922855245191
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.94,134,0.837936435324068
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.96,134,0.9686674004274695
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,0.98,134,0.7750169642510437
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.0,134,0.7574784719915004
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.02,134,1.2986162549780607
ZFM-04122,2022-05-13,fd4d4d6b-f2e3-464d-8604-084265d32b76,1.04,134,0.6984717573714205
