,subject,date,eid,region,pca_opto,pca_spont_mean,pca_spont_05,pca_spont_95,time
171,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,ORB,20.0,18.95,16.0,21.049999999999997,0.30000000000000004
172,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,ORB,21.0,18.88,16.0,21.0,0.5
173,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,ORB,23.0,18.92,16.0,21.049999999999997,0.7000000000000001
174,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,ORB,23.0,18.99,16.0,21.0,0.9
175,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,ORB,22.0,19.11,17.0,22.0,1.1
176,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,ORB,20.0,19.08,17.0,21.049999999999997,1.3000000000000003
177,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,ORB,20.0,19.13,17.0,21.0,1.5
178,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,ORB,21.0,18.98,17.0,21.0,1.7000000000000002
179,ZFM-02601,2021-11-16,53771a15-33be-4a62-a779-a8c609b742e2,ORB,20.0,19.12,17.0,21.049999999999997,1.9
180,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,M2,12.0,13.06,11.0,15.0,-0.9
181,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,M2,13.0,13.27,12.0,15.0,-0.7000000000000001
182,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,M2,12.0,13.26,12.0,15.0,-0.5
183,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,M2,11.0,13.24,12.0,14.049999999999997,-0.30000000000000004
184,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,M2,13.0,13.3,11.95,15.0,-0.1
185,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,M2,12.0,13.29,12.0,15.0,0.1
186,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,M2,13.0,13.34,12.0,15.0,0.30000000000000004
187,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,M2,13.0,13.22,12.0,15.0,0.5
188,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,M2,14.0,13.4,12.0,15.0,0.7000000000000001
189,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,M2,14.0,13.36,12.0,15.0,0.9
190,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,M2,13.0,13.26,12.0,15.0,1.1
191,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,M2,14.0,13.29,12.0,15.0,1.3000000000000003
192,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,M2,14.0,13.25,12.0,15.0,1.5
193,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,M2,14.0,13.13,12.0,14.049999999999997,1.7000000000000002
194,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,M2,12.0,13.19,12.0,15.0,1.9
195,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,mPFC,21.0,17.75,15.0,20.0,-0.9
196,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,mPFC,20.0,17.82,15.95,20.0,-0.7000000000000001
197,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,mPFC,21.0,17.67,16.0,19.0,-0.5
198,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,mPFC,20.0,17.88,16.0,20.0,-0.30000000000000004
199,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,mPFC,19.0,18.0,16.0,20.0,-0.1
200,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,mPFC,21.0,18.06,16.0,19.049999999999997,0.1
201,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,mPFC,22.0,18.21,16.0,20.0,0.30000000000000004
202,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,mPFC,20.0,18.23,16.0,20.0,0.5
203,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,mPFC,21.0,18.02,16.0,20.0,0.7000000000000001
204,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,mPFC,19.0,18.05,16.0,20.0,0.9
205,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,mPFC,21.0,17.96,16.95,20.0,1.1
206,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,mPFC,23.0,18.04,16.0,19.049999999999997,1.3000000000000003
207,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,mPFC,20.0,17.92,16.0,20.0,1.5
208,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,mPFC,18.0,17.92,16.0,20.0,1.7000000000000002
209,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,mPFC,19.0,18.1,16.0,20.0,1.9
210,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,ORB,11.0,9.62,8.0,11.0,-0.9
211,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,ORB,10.0,9.51,8.0,11.0,-0.7000000000000001
212,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,ORB,11.0,9.78,9.0,11.0,-0.5
213,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,ORB,10.0,9.72,8.95,11.0,-0.30000000000000004
214,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,ORB,10.0,9.7,8.0,11.0,-0.1
215,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,ORB,10.0,9.77,8.0,11.0,0.1
216,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,ORB,8.0,9.71,8.0,11.0,0.30000000000000004
217,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,ORB,9.0,9.59,8.0,11.0,0.5
218,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,ORB,10.0,9.62,8.95,11.0,0.7000000000000001
219,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,ORB,8.0,9.78,8.95,11.0,0.9
220,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,ORB,8.0,9.55,8.0,11.0,1.1
221,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,ORB,9.0,9.75,8.0,11.0,1.3000000000000003
222,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,ORB,11.0,9.78,9.0,11.0,1.5
223,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,ORB,10.0,9.62,9.0,11.0,1.7000000000000002
224,ZFM-02600,2021-08-28,865496ae-3206-4974-af44-2cff2f7023f2,ORB,8.0,9.81,8.0,11.0,1.9
225,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,M2,18.0,17.67,16.0,20.0,-0.9
226,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,M2,20.0,17.84,16.0,20.0,-0.7000000000000001
227,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,M2,18.0,17.67,15.0,20.0,-0.5
228,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,M2,17.0,17.71,15.95,19.049999999999997,-0.30000000000000004
229,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,M2,18.0,17.51,16.0,19.0,-0.1
230,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,M2,17.0,17.74,16.0,20.0,0.1
231,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,M2,20.0,17.76,16.0,20.0,0.30000000000000004
232,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,M2,17.0,17.73,16.0,20.0,0.5
233,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,M2,18.0,17.85,16.0,20.0,0.7000000000000001
234,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,M2,18.0,17.84,15.95,20.0,0.9
235,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,M2,17.0,17.9,16.0,20.0,1.1
236,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,M2,16.0,17.87,16.0,20.0,1.3000000000000003
237,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,M2,18.0,17.81,16.0,20.0,1.5
238,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,M2,18.0,17.82,16.0,20.0,1.7000000000000002
239,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,M2,16.0,17.8,15.95,20.0,1.9
240,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,ORB,19.0,18.0,17.0,20.0,-0.9
241,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,ORB,20.0,18.0,16.0,19.049999999999997,-0.7000000000000001
242,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,ORB,19.0,18.1,16.0,20.0,-0.5
243,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,ORB,19.0,18.08,16.0,20.0,-0.30000000000000004
244,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,ORB,19.0,17.94,16.0,20.0,-0.1
245,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,ORB,18.0,18.08,16.0,20.0,0.1
246,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,ORB,20.0,17.96,16.0,20.0,0.30000000000000004
247,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,ORB,19.0,18.02,16.0,20.0,0.5
248,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,ORB,18.0,17.97,16.95,19.049999999999997,0.7000000000000001
249,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,ORB,17.0,17.89,16.0,19.0,0.9
250,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,ORB,18.0,17.98,16.0,20.0,1.1
251,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,ORB,21.0,17.95,16.95,20.0,1.3000000000000003
252,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,ORB,17.0,18.06,16.95,20.0,1.5
253,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,ORB,18.0,17.93,16.0,20.0,1.7000000000000002
254,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,ORB,18.0,17.92,16.0,20.0,1.9
255,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,Pir,18.0,16.44,15.0,18.0,-0.9
256,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,Pir,18.0,16.53,15.0,18.0,-0.7000000000000001
257,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,Pir,16.0,16.51,15.0,18.0,-0.5
258,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,Pir,17.0,16.39,15.0,18.0,-0.30000000000000004
259,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,Pir,15.0,16.13,15.0,18.0,-0.1
260,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,Pir,18.0,16.58,15.0,18.0,0.1
261,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,Pir,17.0,16.42,15.0,18.0,0.30000000000000004
262,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,Pir,17.0,16.24,15.0,18.0,0.5
263,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,Pir,16.0,16.32,15.0,18.0,0.7000000000000001
264,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,Pir,17.0,16.25,15.0,18.0,0.9
265,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,Pir,16.0,16.41,15.0,18.0,1.1
266,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,Pir,17.0,16.18,15.0,18.0,1.3000000000000003
267,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,Pir,16.0,16.35,15.0,18.0,1.5
268,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,Pir,16.0,16.49,15.0,18.0,1.7000000000000002
269,ZFM-02600,2021-08-26,c8f68575-e5a8-4960-a690-0149c5c4683f,Pir,15.0,16.4,15.0,18.0,1.9
270,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,mPFC,19.0,17.08,15.0,19.0,-0.9
271,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,mPFC,19.0,17.01,15.0,20.0,-0.7000000000000001
272,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,mPFC,16.0,17.04,14.95,20.0,-0.5
273,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,mPFC,16.0,16.94,15.0,19.0,-0.30000000000000004
274,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,mPFC,17.0,17.01,15.0,19.0,-0.1
275,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,mPFC,17.0,17.15,14.0,19.0,0.1
276,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,mPFC,17.0,16.99,15.0,19.0,0.30000000000000004
277,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,mPFC,15.0,16.82,15.0,19.0,0.5
278,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,mPFC,17.0,16.8,15.0,19.0,0.7000000000000001
279,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,mPFC,15.0,16.64,15.0,19.0,0.9
280,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,mPFC,16.0,16.86,15.0,19.0,1.1
281,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,mPFC,16.0,16.93,15.0,19.0,1.3000000000000003
282,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,mPFC,17.0,17.09,15.0,19.0,1.5
283,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,mPFC,15.0,16.99,15.0,19.0,1.7000000000000002
284,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,mPFC,16.0,17.02,15.0,19.0,1.9
285,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,ORB,17.0,16.25,14.0,18.0,-0.9
286,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,ORB,17.0,15.96,13.95,17.0,-0.7000000000000001
287,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,ORB,18.0,16.03,14.0,18.0,-0.5
288,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,ORB,16.0,16.0,14.0,18.0,-0.30000000000000004
289,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,ORB,16.0,15.69,13.0,18.0,-0.1
290,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,ORB,16.0,15.89,13.0,18.0,0.1
291,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,ORB,17.0,15.86,13.0,18.0,0.30000000000000004
292,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,ORB,17.0,15.92,13.850000000000001,18.0,0.5
293,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,ORB,16.0,15.84,13.0,18.0,0.7000000000000001
294,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,ORB,16.0,15.98,13.0,18.0,0.9
295,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,ORB,16.0,16.13,14.0,18.0,1.1
296,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,ORB,13.0,15.82,13.95,18.0,1.3000000000000003
297,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,ORB,10.0,15.73,11.95,18.0,1.5
298,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,ORB,15.0,16.01,13.0,18.0,1.7000000000000002
299,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,ORB,15.0,16.02,14.0,17.0,1.9
300,ZFM-02181,2021-07-16,91e629f5-f161-44e4-8dd0-15954c602f02,M2,20.0,15.97,13.0,18.0,-0.9
301,ZFM-02181,2021-07-16,91e629f5-f161-44e4-8dd0-15954c602f02,M2,19.0,15.99,13.0,18.0,-0.7000000000000001
302,ZFM-02181,2021-07-16,91e629f5-f161-44e4-8dd0-15954c602f02,M2,20.0,15.99,13.0,18.0,-0.5
303,ZFM-02181,2021-07-16,91e629f5-f161-44e4-8dd0-15954c602f02,M2,16.0,15.88,14.0,18.0,-0.30000000000000004
304,ZFM-02181,2021-07-16,91e629f5-f161-44e4-8dd0-15954c602f02,M2,18.0,16.09,13.0,18.0,-0.1
305,ZFM-02181,2021-07-16,91e629f5-f161-44e4-8dd0-15954c602f02,M2,20.0,16.06,13.0,18.0,0.1
306,ZFM-02181,2021-07-16,91e629f5-f161-44e4-8dd0-15954c602f02,M2,18.0,16.05,13.0,18.0,0.30000000000000004
307,ZFM-02181,2021-07-16,91e629f5-f161-44e4-8dd0-15954c602f02,M2,18.0,16.05,13.95,18.0,0.5
308,ZFM-02181,2021-07-16,91e629f5-f161-44e4-8dd0-15954c602f02,M2,18.0,15.98,13.95,18.0,0.7000000000000001
309,ZFM-02181,2021-07-16,91e629f5-f161-44e4-8dd0-15954c602f02,M2,19.0,16.13,13.0,18.0,0.9
310,ZFM-02181,2021-07-16,91e629f5-f161-44e4-8dd0-15954c602f02,M2,20.0,16.37,14.0,19.0,1.1
311,ZFM-02181,2021-07-16,91e629f5-f161-44e4-8dd0-15954c602f02,M2,18.0,16.15,13.0,18.0,1.3000000000000003
312,ZFM-02181,2021-07-16,91e629f5-f161-44e4-8dd0-15954c602f02,M2,14.0,15.94,13.0,18.0,1.5
313,ZFM-02181,2021-07-16,91e629f5-f161-44e4-8dd0-15954c602f02,M2,19.0,15.98,13.95,18.0,1.7000000000000002
314,ZFM-02181,2021-07-16,91e629f5-f161-44e4-8dd0-15954c602f02,M2,20.0,15.99,13.0,18.0,1.9
315,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,M2,14.0,15.43,14.0,17.0,-0.9
316,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,M2,13.0,15.58,14.0,17.0,-0.7000000000000001
317,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,M2,12.0,15.31,13.0,17.0,-0.5
318,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,M2,15.0,15.48,14.0,17.0,-0.30000000000000004
319,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,M2,14.0,15.4,14.0,17.0,-0.1
320,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,M2,16.0,15.35,13.0,17.0,0.1
321,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,M2,16.0,15.38,13.0,17.0,0.30000000000000004
322,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,M2,15.0,15.54,14.0,17.0,0.5
323,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,M2,13.0,15.45,13.0,17.0,0.7000000000000001
324,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,M2,13.0,15.37,14.0,17.0,0.9
325,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,M2,15.0,15.47,13.95,17.0,1.1
326,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,M2,16.0,15.45,14.0,17.0,1.3000000000000003
327,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,M2,14.0,15.34,13.0,17.0,1.5
328,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,M2,16.0,15.36,13.0,17.0,1.7000000000000002
329,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,M2,15.0,15.4,13.0,17.0,1.9
330,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,mPFC,16.0,17.17,15.95,19.0,-0.9
331,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,mPFC,16.0,16.93,15.0,18.0,-0.7000000000000001
332,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,mPFC,15.0,17.02,15.0,19.0,-0.5
333,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,mPFC,16.0,16.88,15.0,18.049999999999997,-0.30000000000000004
334,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,mPFC,17.0,17.16,15.95,19.0,-0.1
335,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,mPFC,16.0,16.97,15.0,19.0,0.1
336,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,mPFC,17.0,16.93,15.0,18.049999999999997,0.30000000000000004
337,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,mPFC,16.0,17.14,15.0,19.0,0.5
338,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,mPFC,17.0,17.16,16.0,19.0,0.7000000000000001
339,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,mPFC,18.0,17.09,15.0,19.0,0.9
340,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,mPFC,16.0,17.08,16.0,19.0,1.1
341,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,mPFC,15.0,17.08,15.0,18.049999999999997,1.3000000000000003
342,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,mPFC,16.0,17.18,15.0,19.0,1.5
343,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,mPFC,16.0,17.06,15.0,19.0,1.7000000000000002
344,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,mPFC,16.0,17.01,15.0,19.0,1.9
345,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,ORB,21.0,21.48,19.0,23.0,-0.9
346,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,ORB,21.0,21.15,19.0,23.0,-0.7000000000000001
347,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,ORB,23.0,21.23,20.0,23.0,-0.5
348,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,ORB,21.0,21.25,19.0,23.0,-0.30000000000000004
349,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,ORB,21.0,21.19,19.0,23.0,-0.1
350,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,ORB,21.0,21.28,19.0,23.0,0.1
351,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,ORB,23.0,21.24,19.0,23.0,0.30000000000000004
352,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,ORB,21.0,21.26,19.0,23.0,0.5
353,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,ORB,22.0,21.4,19.95,23.0,0.7000000000000001
354,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,ORB,21.0,21.18,19.0,23.0,0.9
355,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,ORB,23.0,21.16,19.0,23.0,1.1
356,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,ORB,22.0,21.02,19.0,23.0,1.3000000000000003
357,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,ORB,20.0,21.16,19.0,23.049999999999997,1.5
358,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,ORB,20.0,21.34,20.0,23.049999999999997,1.7000000000000002
359,ZFM-02181,2021-07-14,299bf322-e039-4444-8f04-67fde247ae5e,ORB,21.0,21.23,19.95,23.0,1.9
360,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,Amyg,15.0,14.21,13.0,16.0,-0.9
361,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,Amyg,16.0,14.18,13.0,16.0,-0.7000000000000001
362,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,Amyg,15.0,14.0,12.0,15.049999999999997,-0.5
363,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,Amyg,15.0,14.27,13.0,16.0,-0.30000000000000004
364,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,Amyg,16.0,14.2,12.0,16.0,-0.1
365,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,Amyg,13.0,14.18,13.0,16.0,0.1
366,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,Amyg,13.0,14.28,13.0,16.0,0.30000000000000004
367,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,Amyg,14.0,13.98,12.0,15.049999999999997,0.5
368,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,Amyg,12.0,14.12,12.95,16.0,0.7000000000000001
369,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,Amyg,13.0,14.1,12.95,16.0,0.9
370,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,Amyg,14.0,14.05,12.0,15.0,1.1
371,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,Amyg,16.0,14.23,13.0,16.0,1.3000000000000003
372,ZFM-02600,2021-08-25,5b7e1b65-b844-4fe8-b19e-1c3175290a63,Amyg,13.0,14.16,13.0,16.0,1.5
