,subject,date,eid,region,pca_opto,pca_spont_mean,pca_spont_05,pca_spont_95,time
38,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,11.0,12.5,11.0,14.0,0.7000000000000001
39,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,13.0,12.34,11.0,14.0,0.9
40,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,12.0,12.38,11.0,14.0,1.1
41,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,13.0,12.52,11.0,14.0,1.3000000000000003
42,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,12.0,12.47,11.0,14.0,1.5
43,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,13.0,12.42,11.0,14.0,1.7000000000000002
44,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,M2,12.0,12.49,11.0,14.0,1.9
45,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,17.0,15.91,13.95,18.0,-0.9
46,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,17.0,15.83,13.0,18.0,-0.7000000000000001
47,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,15.0,15.85,13.0,18.049999999999997,-0.5
48,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,15.0,15.79,13.95,18.0,-0.30000000000000004
49,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,15.0,16.0,13.95,18.0,-0.1
50,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,17.0,16.12,13.0,18.049999999999997,0.1
51,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,15.0,16.15,14.0,18.0,0.30000000000000004
52,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,16.0,16.24,13.0,19.0,0.5
53,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,17.0,16.21,14.0,19.0,0.7000000000000001
54,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,18.0,16.1,13.95,18.0,0.9
55,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,17.0,16.24,14.0,18.049999999999997,1.1
56,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,15.0,16.12,14.0,18.0,1.3000000000000003
57,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,18.0,15.9,13.0,18.0,1.5
58,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,18.0,15.98,14.0,18.049999999999997,1.7000000000000002
59,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,ORB,15.0,16.2,13.0,18.0,1.9
60,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,Pir,22.0,19.59,18.0,21.0,-0.9
61,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,Pir,21.0,19.55,18.0,21.0,-0.7000000000000001
62,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,Pir,19.0,19.36,18.0,21.0,-0.5
63,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,Pir,20.0,19.27,17.0,21.0,-0.30000000000000004
64,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,Pir,21.0,19.45,18.0,21.049999999999997,-0.1
65,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,Pir,20.0,19.48,18.0,21.0,0.1
66,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,Pir,17.0,19.56,18.0,21.0,0.30000000000000004
67,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,Pir,20.0,19.49,18.0,22.0,0.5
68,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,Pir,18.0,19.42,17.95,21.0,0.7000000000000001
69,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,Pir,20.0,19.51,17.0,21.049999999999997,0.9
70,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,Pir,19.0,19.43,17.0,21.0,1.1
71,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,Pir,21.0,19.48,18.0,21.0,1.3000000000000003
72,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,Pir,19.0,19.46,17.95,21.0,1.5
73,ZFM-03332,2022-02-16,0d04401a-2e75-4449-b699-252000ed2b76,Pir,17.0,19.38,17.0,21.049999999999997,1.7000000000000002
