subject,date,pid,probe,region,time,n_neurons,pca_dist
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Pir,2.9,23,0.7836448288816157
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Pir,2.92,23,1.0005021343666145
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Pir,2.94,23,1.1610677733857202
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Pir,2.96,23,1.6045623860177918
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Pir,2.98,23,1.0248130415183678
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.98,30,0.17688558893886208
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.96,30,0.12972424520116835
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.94,30,0.11209960014063604
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.92,30,0.41962507043963115
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.9,30,0.2768663151751104
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.88,30,0.1472932705393437
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.86,30,0.7636575761116444
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.8400000000000001,30,1.4786653344977336
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.8200000000000001,30,1.93729664042178
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.8,30,1.6049848042694128
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.78,30,0.12845384704220883
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.76,30,1.1777604006603035
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.74,30,1.5127661266006642
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.72,30,1.031917772636618
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.7,30,0.5086716410271493
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.68,30,0.20824767013066803
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.66,30,0.5382218991293524
ZFM-02600,2021-08-28,4850f644-8665-4e24-8c3c-bfa86de2c0f5,probe01,Str,-0.64,30,0.4793878793728874
