subject,date,pid,probe,neuron_id
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,244
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,248
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,253
ZFM-02601,2021-11-19,dd5af9d9-16b1-477a-885d-713dc5066b8c,probe00,263
ZFM-03330,2022-02-16,455d9684-12b3-4c40-97a3-5a47b9c31589,probe01,185
ZFM-03330,2022-02-17,7a82c06b-0e33-454b-a98f-786a4024c1d0,probe00,170
ZFM-03330,2022-02-17,7a82c06b-0e33-454b-a98f-786a4024c1d0,probe00,236
ZFM-03330,2022-02-17,7a82c06b-0e33-454b-a98f-786a4024c1d0,probe00,241
ZFM-03330,2022-02-17,7a82c06b-0e33-454b-a98f-786a4024c1d0,probe00,242
ZFM-03330,2022-02-17,f07d1d05-72a9-4599-8970-bce441c9d21c,probe01,1
ZFM-03330,2022-02-17,f07d1d05-72a9-4599-8970-bce441c9d21c,probe01,106
ZFM-03330,2022-02-17,f07d1d05-72a9-4599-8970-bce441c9d21c,probe01,131
ZFM-03330,2022-02-17,f07d1d05-72a9-4599-8970-bce441c9d21c,probe01,132
